epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
52,0.6934,0.711,"[ 2.49310739  4.39969308 -0.12425543  2.02623459  1.04854929  0.2942223
  1.04291125  2.29840202  2.36552696  3.51255003  2.50690921  4.43261622
  1.17036219  5.39078967  0.04509051  4.3386492   2.49568792  3.38340345]",1.8846
53,0.6929,0.7285,"[ 2.49508635  4.40161958 -0.12234314  2.02429859  1.0465953   0.29564849
  1.04489883  2.29642027  2.36751401  3.51057365  2.50888245  4.43063574
  1.17231208  5.39271986  0.04705867  4.33679401  2.49760161  3.38537012]",1.8897
54,0.6932,0.6759,"[ 2.49903788  4.40545647 -0.11855882  2.02043682  1.04270095  0.29878944
  1.04887055  2.29246198  2.3714847   3.50662725  2.51282161  4.42667995
  1.17619283  5.39657124  0.05098827  4.33309741  2.50141785  3.38929638]",1.9013
55,0.6933,0.6821,"[ 2.49897472  4.40525477 -0.11882948  2.02060687  1.04283522  0.29796496
  1.04883359  2.29251628  2.37144653  3.50669645  2.51274316  4.42673713
  1.17603831  5.3963891   0.05089938  4.33345571  2.50119419  3.38920314]",1.8996
56,0.6928,0.7197,"[ 2.49694385  4.4031502  -0.12096303  2.02269532  1.04490221  0.29541905
  1.04681553  2.29454288  2.36942776  3.50873068  2.51070433  4.4287654
  1.17396293  5.39429332  0.04885431  4.3356525   2.49907516  3.38715587]",1.8917
57,0.6935,0.67,"[ 2.49491865  4.40106563 -0.12306574  2.02476769  1.04695634  0.2929615
  1.04480067  2.29656468  2.3674123   3.51075872  2.50867258  4.43078864
  1.171903    5.39221469  0.04681713  4.33781038  2.49697791  3.38511692]",1.8844
58,0.6932,0.6904,"[ 2.49693393  4.40311373 -0.12098468  2.02272977  1.04492247  0.29498482
  1.04680929  2.29455177  2.36942112  3.50874241  2.5106912   4.42877525
  1.17394313  5.39425303  0.04883749  4.33573636  2.49902504  3.38713819]",1.8909
59,0.6936,0.7181,"[ 2.492937    4.39912015 -0.12496123  2.02672632  1.04891572  0.29085436
  1.04281086  2.29854932  2.36542263  3.51273955  2.50669451  4.43277295
  1.16995285  5.39025482  0.04484015  4.33973704  2.49502671  3.38314095]",1.8783
60,0.6932,0.7108,"[ 2.49085812  4.39703146 -0.12700596  2.0288268   1.05101555  0.28901569
  1.04075498  2.30062191  2.36336501  3.51482321  2.50460586  4.43484857
  1.16785625  5.38815464  0.04274466  4.34176137  2.49293934  3.38104417]",1.8727
61,0.6935,0.658,"[ 2.49652891  4.40236679 -0.12174385  2.02344116  1.04555276  0.29361285
  1.0465366   2.29491733  2.36913968  3.50917614  2.51022144  4.42915752
  1.17329122  5.39352074  0.04831911  4.33660692  2.49824091  3.38660718]",1.8871
62,0.6935,0.7267,"[ 2.49253734  4.39838783 -0.12569805  2.02742594  1.04953536  0.2894823
  1.04254129  2.29891033  2.36514436  3.51316762  2.50623118  4.43315054
  1.16931463  5.38953504  0.04432842  4.34058484  2.49425778  3.38261698]",1.8747
63,0.6935,0.6689,"[ 2.49454672  4.40041298 -0.12364546  2.02540771  1.04751552  0.29132414
  1.04454649  2.29690255  2.36714957  3.51115805  2.50824213  4.43114274
  1.17134078  5.39155257  0.04633908  4.33855435  2.49627891  3.38462821]",1.8805
64,0.6933,0.7032,"[ 2.49255575  4.39843909 -0.12559216  2.02738864  1.04949574  0.28922948
  1.04255147  2.29889504  2.36515458  3.51314875  2.5062528   4.43313515
  1.16936624  5.38957102  0.04434978  4.34051946  2.49430156  3.38263947]",1.8744
65,0.693,0.7066,"[ 2.49245189  4.39812819 -0.12596349  2.02765935  1.04970896  0.288064
  1.04248923  2.29898552  2.36508962  3.5132635   2.50612381  4.43323166
  1.16913917  5.38928487  0.0441981   4.34101267  2.4939597   3.38248209]",1.872
66,0.6928,0.665,"[ 2.49046951  4.39618538 -0.12787138  2.02961455  1.05166961  0.28600692
  1.04049917  2.30097061  2.36309986  3.51524457  2.5041454   4.43521606
  1.16718476  5.38733051  0.04222212  4.34292343  2.49201634  3.38050718]",1.8665
67,0.6933,0.6631,"[ 2.49447372  4.40019483 -0.12384224  2.02560939  1.04766058  0.28967466
  1.04450138  2.29696723  2.36710201  3.51124055  2.50815003  4.43121282
  1.17119762  5.39133401  0.04622587  4.33892074  2.49602012  3.38451115]",1.8775
68,0.6932,0.718,"[ 2.49247339  4.39818864 -0.1258326   2.027617    1.04966165  0.28743696
  1.04250094  2.29896777  2.36510138  3.51324159  2.50614894  4.4332138
  1.16919999  5.3893241   0.0442228   4.34094359  2.49400727  3.38250802]",1.8712
69,0.6933,0.6845,"[ 2.49244272  4.39807989 -0.12595623  2.02771041  1.0497295   0.28667061
  1.04248287  2.29899444  2.36508233  3.51327619  2.50610975  4.43324272
  1.16912976  5.3892232   0.04417457  4.3411432   2.49388155  3.38245788]",1.8699
70,0.6935,0.7101,"[ 2.49240091  4.39793811 -0.12612226  2.02783135  1.04982024  0.28584165
  1.04245823  2.29903072  2.36505645  3.51332292  2.50605685  4.43328182
  1.1690339   5.38909316  0.04411071  4.34139305  2.49372043  3.38239146]",1.8683
71,0.6931,0.6391,"[ 2.4944104   4.39996613 -0.12406726  2.02581094  1.04779936  0.28774496
  1.04446346  2.29702283  2.36706174  3.5113131   2.50806811  4.43127377
  1.17106025  5.39111303  0.04612221  4.33935568  2.49574491  3.38440352]",1.8741
72,0.693,0.6752,"[ 2.4963602   4.40179419 -0.12228777  2.0239526   1.04590914  0.28890167
  1.0464343   2.29506596  2.3690313   3.50936854  2.51000509  4.42931986
  1.17293785  5.39296009  0.04804849  4.33766768  2.4975521   3.38632635]",1.8788
73,0.6931,0.6828,"[ 2.4982415   4.40345635 -0.12070976  2.02223813  1.04414554  0.28985231
  1.04836341  2.29316862  2.37095783  3.50749729  2.51186022  4.42742823
  1.17467233  5.39465681  0.04988498  4.33619384  2.49918604  3.38815572]",1.883
74,0.6935,0.6732,"[ 2.49622642  4.40140221 -0.12276909  2.02428349  1.04617838  0.2875309
  1.04635452  2.2951817   2.36894845  3.50951427  2.50984097  4.4294424
  1.17263711  5.39260658  0.04786176  4.33829898  2.497122    3.38613136]",1.8758
75,0.6931,0.6957,"[ 2.4962179   4.40136715 -0.12279968  2.02431378  1.04619781  0.28721785
  1.04634941  2.29518921  2.36894296  3.50952428  2.50982964  4.4294508
  1.17261868  5.39257239  0.04784689  4.33837357  2.49707783  3.38611584]",1.8753
76,0.6931,0.7181,"[ 2.49620071  4.40130431 -0.12286898  2.02436634  1.04623575  0.28680695
  1.0463393   2.29520412  2.36893229  3.50954367  2.50980763  4.42946701
  1.17257852  5.3925144   0.04782001  4.33849518  2.49700369  3.38608773]",1.8745
77,0.6931,0.7053,"[ 2.49425946  4.39947887 -0.12463085  2.02622298  1.0481137   0.28511995
  1.04437365  2.29715368  2.36696796  3.51148008  2.50787954  4.43141367
  1.17071595  5.39066416  0.0459016   4.34023516  2.49518551  3.38417271]",1.8691
78,0.6933,0.7298,"[ 2.49225753  4.39747235 -0.12661635  2.02823252  1.05011662  0.28296755
  1.04237208  2.29915573  2.36496613  3.51348292  2.50587654  4.4334163
  1.1687176   5.38865266  0.04389608  4.3422482   2.49317262  3.38216717]",1.863
79,0.6931,0.6811,"[ 2.49224509  4.39742373 -0.12666216  2.02827452  1.05014468  0.28249962
  1.04236467  2.29916665  2.36495819  3.51349732  2.50586023  4.43342842
  1.16869034  5.38860602  0.04387493  4.34234561  2.49311286  3.38214519]",1.8622
80,0.6932,0.6652,"[ 2.49030778  4.39563752 -0.12836819  2.03010291  1.05200531  0.28122041
  1.04040061  2.30111307  2.36299573  3.51542866  2.50393841  4.43537124
  1.16684472  5.38678691  0.04196623  4.34398679  2.49134091  3.38024037]",1.8582
