epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
80,0.6932,0.7063,"[ 2.38527203  4.29111248 -0.23389954  2.0123658   1.15691468  0.54968207
  0.93533859  2.40617182  2.25799023  3.62042601  2.39894814  4.54032252
  1.06191572  5.35018794 -0.06292536  4.40779344  2.38717744  3.27545767]",17.2923
81,0.6931,0.6957,"[ 2.38625931  4.29201444 -0.23299528  2.0133326   1.15601256  0.54871153
  0.93632822  2.40518804  2.25898108  3.61945273  2.3999202   4.53933794
  1.06289326  5.34927992 -0.0630702   4.40860083  2.38810402  3.27637826]",17.2682
82,0.6932,0.7043,"[ 2.38332193  4.28940361 -0.23560566  2.01048904  1.15862378  0.55157201
  0.93337942  2.40810916  2.25602648  3.62232672  2.3970517   4.54226291
  1.0600011   5.35189571 -0.06383932  4.40630259  2.38541196  3.27370185]",17.3383
83,0.6932,0.6927,"[ 2.38626695  4.29200305 -0.23300149  2.0133471   1.15602471  0.54869809
  0.93633462  2.40517902  2.25898685  3.6194409   2.39993231  4.53932934
  1.06290473  5.34928016 -0.06518306  4.40849675  2.38810892  3.27637757]",17.2701
84,0.6931,0.7002,"[ 2.38527422  4.29106448 -0.23393823  2.01236714  1.15696329  0.5496806
  0.93534047  2.40616976  2.25799202  3.62042553  2.39894846  4.54032058
  1.06191778  5.35021668 -0.06702558  4.40767612  2.38715356  3.27542402]",17.296
85,0.6932,0.6877,"[ 2.38627068  4.29203201 -0.23296859  2.01335774  1.15599588  0.54868893
  0.93633759  2.40517432  2.25898947  3.61943323  2.39994039  4.53932493
  1.06291147  5.34924532 -0.06905819  4.40859974  2.38813058  3.27639872]",17.2708
86,0.6932,0.7,"[ 2.38527232  4.29104652 -0.23395239  2.0123624   1.15698118  0.54968488
  0.93533889  2.40617224  2.25799062  3.62042975  2.39894405  4.54032297
  1.06191445  5.350229   -0.07104955  4.40765469  2.38714066  3.27540883]",17.2985
87,0.6931,0.6872,"[ 2.38626817  4.29200736 -0.23298891  2.01335144  1.15602084  0.54869465
  0.93633551  2.40517761  2.25898763  3.61943888  2.39993448  4.53932812
  1.06290704  5.34926287 -0.07319921  4.40856319  2.38811361  3.27637889]",17.2736
88,0.6932,0.7059,"[ 2.38527141  4.29103704 -0.23395791  2.01236034  1.15699051  0.54968682
  0.93533811  2.40617345  2.25798993  3.62043187  2.39894185  4.54032417
  1.06191288  5.35023288 -0.07527493  4.40765721  2.38713387  3.27539999]",17.3006
89,0.6931,0.6888,"[ 2.38626183  4.29194697 -0.23304324  2.01333526  1.15608265  0.54870928
  0.93633033  2.40518585  2.25898304  3.61945299  2.39991975  4.53933604
  1.06289583  5.34931093 -0.07702653  4.40844928  2.38807285  3.27633254]",17.2773
90,0.6931,0.6923,"[ 2.38723806  4.29274258 -0.23224025  2.01427382  1.15529185  0.5477644
  0.93731103  2.40421649  2.25996592  3.61850465  2.40086571  4.5383654
  1.06385386  5.34849381 -0.07809148  4.40901341  2.38893062  3.27717848]",17.2574
91,0.6932,0.686,"[ 2.38823731  4.29373425 -0.23124639  2.01527198  1.15430034  0.54676609
  0.93831041  2.40321749  2.26096536  3.61750641  2.40186387  4.53736638
  1.06485254  5.34749882 -0.08004185  4.41000285  2.38992509  3.27817191]",17.2313
92,0.6931,0.7014,"[ 2.38723888  4.29274888 -0.23223003  2.0142764   1.15528518  0.54776222
  0.93731165  2.40421548  2.25996647  3.61850301  2.40086745  4.53836448
  1.06385539  5.34848271 -0.08222761  4.40906057  2.38893482  3.27718155]",17.2589
